index,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
110,55K1261,407617,425607,2,20/05/2018,1607,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,4,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
111,55L2017,394261,424284,2,21/05/2018,1930,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,17,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
112,55M0801,412461,425468,2,23/05/2018,1200,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,59,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
113,55M1519,409104,423188,2,22/05/2018,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,67,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
114,55M2071,416897,422062,2,23/05/2018,38,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,14,Car,Vehicle or pillion passenger,Slight,Male,14,,Vehicle or pillion passenger,Slight,Male,15,,Vehicle or pillion passenger,Slight,Male,16,,Driver or rider,Slight,Male,27,,Vehicle or pillion passenger,Slight,Female,25
115,55N1521,408115,425482,1,23/05/2018,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,8,,,,,,,,,,,,,,,,,,,,,,,,,
116,55Q0970,400415,415182,2,26/05/2018,1315,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,35,Car,Vehicle or pillion passenger,Slight,Female,36,,Driver or rider,Slight,Male,20,,Vehicle or pillion passenger,Slight,Female,21,,,,,,,,,,
117,55U1387,411863,427785,1,30/05/2018,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,44,,,,,,,,,,,,,,,,,,,,,,,,,
118,55V0612,406710,424321,3,31/05/2018,1046,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,26,Car,Vehicle or pillion passenger,Slight,Male,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
119,5610656,401689,415677,4,01/06/2018,1100,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,54,Car,Vehicle or pillion passenger,Slight,Female,57,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
120,5611051,411401,419615,2,01/06/2018,1405,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
121,5611735,414352,422842,2,01/06/2018,1545,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
122,5630280,412961,429050,2,03/06/2018,242,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,30,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
123,5640367,408878,424927,2,04/06/2018,755,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,42,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
124,5640948,414875,425171,3,04/06/2018,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,69,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
125,5650808,394142,424223,3,05/06/2018,1320,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,77,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
126,5671714,409801,425714,2,07/06/2018,1640,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,17,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
127,5692198,407400,425926,2,09/06/2018,2330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,Driver or rider,Slight,Male,57,,,,,,,,,,,,,,,,,,,,
